,Total_Reads,Aligned_Reads,Sensitivity,Error_Rate
"(0, 50]",22,2,0.09090909090909091,10%
"(50, 100]",580,112,0.19310344827586207,10%
"(100, 150]",569,253,0.4446397188049209,10%
"(150, 200]",605,367,0.6066115702479339,10%
"(200, 250]",593,444,0.7487352445193929,10%
"(250, 300]",574,467,0.813588850174216,10%
"(300, 350]",558,496,0.8888888888888888,10%
"(350, 400]",578,531,0.9186851211072664,10%
"(400, 450]",596,570,0.9563758389261745,10%
"(450, 500]",568,554,0.9753521126760564,10%
"(500, 550]",537,528,0.9832402234636871,10%
"(550, 600]",544,528,0.9705882352941176,10%
"(600, 650]",582,581,0.9982817869415808,10%
"(650, 700]",564,562,0.9964539007092199,10%
"(700, 750]",579,575,0.9930915371329879,10%
"(750, 800]",584,579,0.9914383561643836,10%
"(800, 850]",516,516,1.0,10%
"(850, 900]",549,548,0.9981785063752276,10%
"(900, 950]",579,578,0.998272884283247,10%
"(950, 1000]",564,564,1.0,10%
"(1000, 1050]",536,536,1.0,10%
"(1050, 1100]",537,537,1.0,10%
"(1100, 1150]",540,540,1.0,10%
"(1150, 1200]",581,581,1.0,10%
"(1200, 1250]",524,524,1.0,10%
"(1250, 1300]",512,512,1.0,10%
"(1300, 1350]",507,507,1.0,10%
"(1350, 1400]",524,524,1.0,10%
"(1400, 1450]",461,461,1.0,10%
"(1450, 1500]",446,446,1.0,10%
"(1500, 1550]",439,439,1.0,10%
"(1550, 1600]",406,406,1.0,10%
"(1600, 1650]",454,454,1.0,10%
"(1650, 1700]",427,427,1.0,10%
"(1700, 1750]",398,398,1.0,10%
"(1750, 1800]",434,434,1.0,10%
"(1800, 1850]",386,386,1.0,10%
"(1850, 1900]",425,425,1.0,10%
"(1900, 1950]",392,392,1.0,10%
"(1950, 2000]",353,353,1.0,10%
"(2000, 2050]",377,377,1.0,10%
"(2050, 2100]",372,372,1.0,10%
"(2100, 2150]",375,375,1.0,10%
"(2150, 2200]",338,338,1.0,10%
"(2200, 2250]",389,389,1.0,10%
"(2250, 2300]",370,370,1.0,10%
"(2300, 2350]",358,358,1.0,10%
"(2350, 2400]",362,362,1.0,10%
"(2400, 2450]",332,332,1.0,10%
"(2450, 2500]",341,341,1.0,10%
"(2500, 2550]",322,322,1.0,10%
"(2550, 2600]",314,314,1.0,10%
"(2600, 2650]",294,294,1.0,10%
"(2650, 2700]",317,317,1.0,10%
"(2700, 2750]",280,280,1.0,10%
"(2750, 2800]",278,278,1.0,10%
"(2800, 2850]",360,360,1.0,10%
"(2850, 2900]",301,301,1.0,10%
"(2900, 2950]",282,282,1.0,10%
"(2950, 3000]",287,287,1.0,10%
"(3000, 3050]",260,260,1.0,10%
"(3050, 3100]",289,289,1.0,10%
"(3100, 3150]",281,281,1.0,10%
"(3150, 3200]",254,254,1.0,10%
"(3200, 3250]",227,227,1.0,10%
"(3250, 3300]",258,258,1.0,10%
