,Reads_Sequenced,p_detect
0,0,0.0
1,1,0.0
2,2,0.003
3,3,0.003
4,4,0.003
5,5,0.005
6,6,0.006
7,7,0.007
8,8,0.007
9,9,0.007
10,10,0.007
11,11,0.008
12,12,0.008
13,13,0.008
14,14,0.01
15,15,0.01
16,16,0.011
17,17,0.011
18,18,0.011
19,19,0.014
20,20,0.014
21,21,0.014
22,22,0.017
23,23,0.018
24,24,0.021
25,25,0.023
26,26,0.023
27,27,0.026
28,28,0.026
29,29,0.028
30,30,0.03
31,31,0.03
32,32,0.033
33,33,0.033
34,34,0.036
35,35,0.037
36,36,0.037
37,37,0.043
38,38,0.047
39,39,0.048
40,40,0.049
41,41,0.05
42,42,0.056
43,43,0.057
44,44,0.059
45,45,0.063
46,46,0.065
47,47,0.065
48,48,0.068
49,49,0.068
50,50,0.071
51,51,0.072
52,52,0.076
53,53,0.079
54,54,0.086
55,55,0.087
56,56,0.087
57,57,0.096
58,58,0.097
59,59,0.101
60,60,0.102
61,61,0.102
62,62,0.106
63,63,0.117
64,64,0.122
65,65,0.125
66,66,0.126
67,67,0.126
68,68,0.128
69,69,0.136
70,70,0.147
71,71,0.148
72,72,0.153
73,73,0.157
74,74,0.158
75,75,0.161
76,76,0.162
77,77,0.165
78,78,0.166
79,79,0.177
80,80,0.181
81,81,0.183
82,82,0.186
83,83,0.188
84,84,0.192
85,85,0.198
86,86,0.207
87,87,0.208
88,88,0.212
89,89,0.216
90,90,0.224
91,91,0.226
92,92,0.228
93,93,0.231
94,94,0.235
95,95,0.239
96,96,0.246
97,97,0.247
98,98,0.248
99,99,0.258
100,100,0.266
101,101,0.269
102,102,0.27
103,103,0.27
104,104,0.27
105,105,0.272
106,106,0.272
107,107,0.272
108,108,0.272
109,109,0.273
110,110,0.273
111,111,0.273
112,112,0.274
113,113,0.274
114,114,0.274
115,115,0.275
116,116,0.276
117,117,0.277
118,118,0.277
119,119,0.28
120,120,0.28
121,121,0.28
122,122,0.281
123,123,0.284
124,124,0.286
125,125,0.286
126,126,0.286
127,127,0.289
128,128,0.289
129,129,0.289
130,130,0.29
131,131,0.29
132,132,0.296
133,133,0.296
134,134,0.299
135,135,0.3
136,136,0.3
137,137,0.306
138,138,0.306
139,139,0.306
140,140,0.307
141,141,0.307
142,142,0.312
143,143,0.312
144,144,0.312
145,145,0.312
146,146,0.313
147,147,0.313
148,148,0.314
149,149,0.315
150,150,0.315
151,151,0.317
152,152,0.32
153,153,0.321
154,154,0.327
155,155,0.328
156,156,0.329
157,157,0.336
158,158,0.337
159,159,0.339
160,160,0.339
161,161,0.34
162,162,0.345
163,163,0.346
164,164,0.353
165,165,0.357
166,166,0.359
167,167,0.36
168,168,0.364
169,169,0.368
170,170,0.37
171,171,0.372
172,172,0.379
173,173,0.381
174,174,0.386
175,175,0.387
176,176,0.388
177,177,0.389
178,178,0.391
179,179,0.396
180,180,0.398
181,181,0.399
182,182,0.4
183,183,0.4
184,184,0.402
185,185,0.404
186,186,0.409
187,187,0.41
188,188,0.415
189,189,0.42
190,190,0.425
191,191,0.428
192,192,0.432
193,193,0.436
194,194,0.441
195,195,0.448
196,196,0.451
197,197,0.455
198,198,0.457
199,199,0.465
200,200,0.471
201,201,0.473
202,202,0.475
203,203,0.475
204,204,0.475
205,205,0.475
206,206,0.477
207,207,0.477
208,208,0.477
209,209,0.477
210,210,0.477
211,211,0.479
212,212,0.479
213,213,0.479
214,214,0.479
215,215,0.479
216,216,0.479
217,217,0.479
218,218,0.479
219,219,0.479
220,220,0.479
221,221,0.479
222,222,0.481
223,223,0.482
224,224,0.482
225,225,0.482
226,226,0.482
227,227,0.482
228,228,0.482
229,229,0.485
230,230,0.485
231,231,0.485
232,232,0.486
233,233,0.486
234,234,0.488
235,235,0.489
236,236,0.489
237,237,0.492
238,238,0.494
239,239,0.495
240,240,0.495
241,241,0.496
242,242,0.5
243,243,0.5
244,244,0.5
245,245,0.5
246,246,0.5
247,247,0.501
248,248,0.502
249,249,0.502
250,250,0.502
251,251,0.502
252,252,0.502
253,253,0.503
254,254,0.505
255,255,0.505
256,256,0.506
257,257,0.506
258,258,0.507
259,259,0.509
260,260,0.51
261,261,0.51
262,262,0.514
263,263,0.515
264,264,0.517
265,265,0.522
266,266,0.523
267,267,0.523
268,268,0.523
269,269,0.524
270,270,0.528
271,271,0.53
272,272,0.537
273,273,0.538
274,274,0.539
275,275,0.539
276,276,0.541
277,277,0.544
278,278,0.547
279,279,0.55
280,280,0.551
281,281,0.552
282,282,0.553
283,283,0.553
284,284,0.554
285,285,0.557
286,286,0.558
287,287,0.558
288,288,0.561
289,289,0.562
290,290,0.563
291,291,0.564
292,292,0.565
293,293,0.57
294,294,0.574
295,295,0.577
296,296,0.586
297,297,0.586
298,298,0.589
299,299,0.593
300,300,0.601
301,301,0.604
302,302,0.604
303,303,0.604
304,304,0.604
305,305,0.607
306,306,0.607
307,307,0.607
308,308,0.607
309,309,0.607
310,310,0.607
311,311,0.607
312,312,0.607
313,313,0.608
314,314,0.608
315,315,0.608
316,316,0.608
317,317,0.609
318,318,0.609
319,319,0.609
320,320,0.609
321,321,0.609
322,322,0.61
323,323,0.61
324,324,0.61
325,325,0.61
326,326,0.61
327,327,0.61
328,328,0.61
329,329,0.611
330,330,0.613
331,331,0.613
332,332,0.614
333,333,0.614
334,334,0.616
335,335,0.616
336,336,0.616
337,337,0.616
338,338,0.617
339,339,0.618
340,340,0.619
341,341,0.619
342,342,0.62
343,343,0.62
344,344,0.62
345,345,0.62
346,346,0.62
347,347,0.62
348,348,0.62
349,349,0.62
350,350,0.621
351,351,0.621
352,352,0.622
353,353,0.625
354,354,0.63
355,355,0.632
356,356,0.632
357,357,0.636
358,358,0.637
359,359,0.638
360,360,0.638
361,361,0.638
362,362,0.639
363,363,0.641
364,364,0.645
365,365,0.648
366,366,0.651
367,367,0.651
368,368,0.652
369,369,0.653
370,370,0.657
371,371,0.661
372,372,0.665
373,373,0.665
374,374,0.666
375,375,0.666
376,376,0.666
377,377,0.667
378,378,0.667
379,379,0.668
380,380,0.669
381,381,0.67
382,382,0.67
383,383,0.67
384,384,0.673
385,385,0.674
386,386,0.676
387,387,0.676
388,388,0.678
389,389,0.68
390,390,0.682
391,391,0.684
392,392,0.686
393,393,0.688
394,394,0.689
395,395,0.691
396,396,0.695
397,397,0.699
398,398,0.701
399,399,0.702
400,400,0.708
401,401,0.711
402,402,0.711
403,403,0.711
404,404,0.711
405,405,0.713
406,406,0.713
407,407,0.713
408,408,0.713
409,409,0.713
410,410,0.713
411,411,0.713
412,412,0.713
413,413,0.713
414,414,0.713
415,415,0.713
416,416,0.713
417,417,0.713
418,418,0.713
419,419,0.714
420,420,0.714
421,421,0.714
422,422,0.714
423,423,0.714
424,424,0.714
425,425,0.714
426,426,0.714
427,427,0.714
428,428,0.714
429,429,0.714
430,430,0.714
431,431,0.714
432,432,0.714
433,433,0.714
434,434,0.714
435,435,0.714
436,436,0.714
437,437,0.716
438,438,0.716
439,439,0.716
440,440,0.716
441,441,0.716
442,442,0.717
443,443,0.717
444,444,0.718
445,445,0.718
446,446,0.718
447,447,0.718
448,448,0.718
449,449,0.718
450,450,0.718
451,451,0.719
452,452,0.719
453,453,0.719
454,454,0.72
455,455,0.72
456,456,0.72
457,457,0.721
458,458,0.722
459,459,0.723
460,460,0.723
461,461,0.723
462,462,0.723
463,463,0.725
464,464,0.729
465,465,0.734
466,466,0.734
467,467,0.734
468,468,0.734
469,469,0.736
470,470,0.737
471,471,0.739
472,472,0.74
473,473,0.74
474,474,0.74
475,475,0.74
476,476,0.741
477,477,0.742
478,478,0.744
479,479,0.745
480,480,0.747
481,481,0.749
482,482,0.749
483,483,0.75
484,484,0.75
485,485,0.751
486,486,0.752
487,487,0.752
488,488,0.757
489,489,0.757
490,490,0.759
491,491,0.76
492,492,0.761
493,493,0.764
494,494,0.765
495,495,0.765
496,496,0.767
497,497,0.767
498,498,0.767
499,499,0.768
500,500,0.77
501,501,0.77
502,502,0.77
503,503,0.77
504,504,0.77
505,505,0.772
506,506,0.772
507,507,0.772
508,508,0.772
509,509,0.772
510,510,0.772
511,511,0.772
512,512,0.772
513,513,0.772
514,514,0.772
515,515,0.772
516,516,0.772
517,517,0.772
518,518,0.772
519,519,0.772
520,520,0.772
521,521,0.772
522,522,0.772
523,523,0.773
524,524,0.773
525,525,0.773
526,526,0.773
527,527,0.774
528,528,0.774
529,529,0.774
530,530,0.775
531,531,0.775
532,532,0.775
533,533,0.775
534,534,0.776
535,535,0.776
536,536,0.776
537,537,0.778
538,538,0.778
539,539,0.778
540,540,0.778
541,541,0.778
542,542,0.778
543,543,0.778
544,544,0.778
545,545,0.778
546,546,0.778
547,547,0.778
548,548,0.778
549,549,0.778
550,550,0.778
551,551,0.779
552,552,0.779
553,553,0.78
554,554,0.784
555,555,0.784
556,556,0.784
557,557,0.785
558,558,0.785
559,559,0.785
560,560,0.785
561,561,0.786
562,562,0.787
563,563,0.788
564,564,0.79
565,565,0.792
566,566,0.792
567,567,0.794
568,568,0.794
569,569,0.794
570,570,0.795
571,571,0.795
572,572,0.797
573,573,0.799
574,574,0.799
575,575,0.799
576,576,0.799
577,577,0.8
578,578,0.804
579,579,0.805
580,580,0.805
581,581,0.806
582,582,0.806
583,583,0.806
584,584,0.806
585,585,0.806
586,586,0.809
587,587,0.809
588,588,0.812
589,589,0.814
590,590,0.814
591,591,0.814
592,592,0.816
593,593,0.817
594,594,0.818
595,595,0.82
596,596,0.821
597,597,0.821
598,598,0.822
599,599,0.825
600,600,0.826
601,601,0.827
602,602,0.827
603,603,0.827
604,604,0.827
605,605,0.827
606,606,0.827
607,607,0.827
608,608,0.827
609,609,0.828
610,610,0.828
611,611,0.828
612,612,0.828
613,613,0.828
614,614,0.828
615,615,0.828
616,616,0.828
617,617,0.828
618,618,0.828
619,619,0.83
620,620,0.83
621,621,0.83
622,622,0.831
623,623,0.831
624,624,0.832
625,625,0.832
626,626,0.832
627,627,0.833
628,628,0.833
629,629,0.833
630,630,0.833
631,631,0.833
632,632,0.833
633,633,0.833
634,634,0.834
635,635,0.834
636,636,0.834
637,637,0.835
638,638,0.837
639,639,0.837
640,640,0.838
641,641,0.838
642,642,0.838
643,643,0.839
644,644,0.84
645,645,0.84
646,646,0.84
647,647,0.84
648,648,0.84
649,649,0.84
650,650,0.84
651,651,0.84
652,652,0.84
653,653,0.842
654,654,0.843
655,655,0.843
656,656,0.843
657,657,0.844
658,658,0.844
659,659,0.845
660,660,0.845
661,661,0.845
662,662,0.846
663,663,0.846
664,664,0.846
665,665,0.848
666,666,0.848
667,667,0.848
668,668,0.848
669,669,0.849
670,670,0.851
671,671,0.852
672,672,0.853
673,673,0.854
674,674,0.854
675,675,0.855
676,676,0.856
677,677,0.856
678,678,0.856
679,679,0.858
680,680,0.859
681,681,0.861
682,682,0.861
683,683,0.861
