,sim_num,rep_num,runtime,lines,Total_Reads
0,Simulation6.5,Rep12,14.679301436742147,41203,9495
1,Simulation6.5,Rep35,25.91390424966812,69787,16441
2,Simulation6.5,Rep6,35.868613894780474,104131,23085
3,Simulation6.5,Rep4,6.793244214852651,18499,4358
4,Simulation6.5,Rep36,3.01992503007253,8371,1860
5,Simulation6.5,Rep8,32.79081252415975,84763,21149
6,Simulation6.5,Rep27,108.97290740013122,303523,68869
7,Simulation6.5,Rep29,25.39633284409841,65131,16145
8,Simulation6.5,Rep7,42.41236528952916,116899,27372
9,Simulation6.5,Rep19,11.588963198661805,29707,7467
10,Simulation6.5,Rep14,27.805145251750947,73939,17887
11,Simulation6.5,Rep13,69.86957904895146,199603,44876
12,Simulation6.5,Rep11,70.89997746547063,188323,45432
13,Simulation6.5,Rep1,13.900274403889973,42955,8971
14,Simulation6.5,Rep16,19.760756063461304,44899,12768
15,Simulation6.5,Rep18,78.77520348628362,202555,48485
16,Simulation6.5,Rep20,37.69992677370707,103315,24156
17,Simulation6.5,Rep9,4.200931406021118,10915,2662
18,Simulation6.5,Rep30,12.467946457862855,35107,7953
19,Simulation6.5,Rep44,"|GENBANK|AF397036.1|Mus musculus strain B10.A(2R) heat shock protein Hsc70t (Hsc70t) gene, partial cds; and small ribonuclear protein G7b (G7b) gene, viral envelope protein G7e (G7e) gene, valyl-tRNA-synthetase G7a/Bat6 (G7a) gene, G7c (G7c) gene, G7d (G7d) gene, and DNA mismatch repair protein Msh5 (Msh5) gene, complete cds.|Mus musculus|ROD|26-JUL-201",91509,25253
20,Simulation6.5,Rep33,38.74604411919912,97699,24663
21,Simulation6.5,Rep39,9.56969769001007,25147,6072
22,Simulation6.5,Rep10,14.195937466621398,42571,9079
23,Simulation6.5,Rep41,96.9995323896408,260083,60288
24,Simulation6.5,Rep23,4.19435441493988,11035,2691
25,Simulation6.5,Rep31,77.00968575874964,210667,48838
26,Simulation6.5,Rep2,55.98064674139023,139027,36072
27,Simulation6.5,Rep37,105.72175293763479,290995,66390
28,Simulation6.5,Rep26,60.56918978691101,129307,30636
29,Simulation6.5,Rep42,27.08436384598414,69187,16538
30,Simulation6.5,Rep32,109.6891498764356,284443,68570
31,Simulation6.5,Rep25,31.534492576122283,84187,20378
32,Simulation6.5,Rep5,72.3388650894165,187843,46592
33,Simulation6.5,Rep22,80.73717308839163,214027,51636
34,Simulation6.5,Rep0,8.630200350284577,26347,5592
35,Simulation6.5,Rep28,46.47240535815557,131515,29673
36,Simulation6.5,Rep24,39.23681521018346,103987,25188
37,Simulation6.5,Rep40,59.32734442949295,161707,37041
38,Simulation6.5,Rep17,38.4366099913915,100795,24878
39,Simulation6.5,Rep34,12.364049716790516,33811,7889
40,Simulation6.5,Rep38,114.58099679946899,308827,71263
41,Simulation6.5,Rep3,131.31370956897734,358675,82388
42,Simulation6.5,Rep21,94.61530424356461,261427,59917
43,Simulation6.5,Rep15,3.5499525825182596,12451,2292
44,Simulation6.5,Rep43,61.41295868953069,177139,38828
45,Simulation6.4,Rep12,0.29372539520263674,883,164
46,Simulation6.4,Rep35,9.507911507288615,24475,6272
47,Simulation6.4,Rep6,15.357874759038289,39739,10089
48,Simulation6.4,Rep4,2.157885245482127,6571,1362
49,Simulation6.4,Rep36,2.4155085961023968,5659,1561
50,Simulation6.4,Rep48,1.043273429075877,2035,661
51,Simulation6.4,Rep8,1.2182458758354187,3763,770
52,Simulation6.4,Rep47,3.646006941795349,12427,2378
53,Simulation6.4,Rep27,2.2841057976086936,4651,1495
54,Simulation6.4,Rep29,0.5980998118718465,2515,321
55,Simulation6.4,Rep7,7.7285787979761755,22603,5023
56,Simulation6.4,Rep19,2.2836218039194742,5515,1497
57,Simulation6.4,Rep14,0.757349181175232,1915,469
58,Simulation6.4,Rep13,10.234752337137857,31435,6744
59,Simulation6.4,Rep11,1.0441240946451822,2491,629
60,Simulation6.4,Rep1,3.8311737815539044,8707,2595
61,Simulation6.4,Rep16,4.523137879371643,15667,2971
