,sim_num,runtime,lines,Rep,Reads_Mapped,avg_read_length
0,Simulation6.3,3.500884779294332,5035,Rep141,1061,2741.948717948718
1,Simulation6.3,0.6747457186381022,1363,Rep199,362,2986.0833333333335
2,Simulation6.3,1.0224500060081483,1267,Rep203,522,3115.769230769231
3,Simulation6.3,0.5085819562276205,907,Rep197,240,3131.6666666666665
4,Simulation6.3,0.18238070805867512,283,Rep91,13,4313.5
5,Simulation6.3,0.3542801777521769,475,Rep941,198,2989.6
6,Simulation6.3,1.7169020136197408,3595,Rep348,969,3451.945945945946
7,Simulation6.3,0.16448075373967488,307,Rep674,76,3644.5
8,Simulation6.3,0.8838520924250285,1915,Rep652,463,3375.0555555555557
9,Simulation6.3,0.19462151527404786,163,Rep560,36,2590.0
10,Simulation6.3,0.3919018030166626,1051,Rep88,160,3496.0
11,Simulation6.3,1.5062278032302856,3355,Rep928,871,3013.6666666666665
12,Simulation6.3,1.017143452167511,2035,Rep891,504,2400.5263157894738
13,Simulation6.3,0.1663597027460734,715,Rep988,18,3868.0
14,Simulation6.3,0.6934184908866883,1507,Rep451,400,3413.4
15,Simulation6.3,0.3367592453956604,451,Rep307,131,2603.6666666666665
16,Simulation6.3,2.0450491189956663,2443,Rep971,1129,3122.9
17,Simulation6.3,0.5259912331899007,1723,Rep909,276,2917.846153846154
18,Simulation6.3,0.17455387512842815,427,Rep490,63,3479.8
19,Simulation6.3,0.5152130881945293,1531,Rep576,233,3288.4
20,Simulation6.3,1.0800681948661803,2587,Rep985,594,3504.4444444444443
21,Simulation6.3,0.5008676489194234,1603,Rep866,299,3228.0
22,Simulation6.3,1.491805124282837,3979,Rep720,818,2946.3030303030305
23,Simulation6.3,0.6847243507703146,2179,Rep933,370,2965.3333333333335
24,Simulation6.3,0.16510738531748453,763,Rep976,58,2880.6
25,Simulation6.3,1.1876751979192097,2419,Rep316,653,2940.2
26,Simulation6.3,0.17743241786956787,283,Rep12,71,3361.0
27,Simulation6.3,0.6955112417538961,763,Rep779,304,3905.1428571428573
28,Simulation6.3,1.2092902779579162,3595,Rep229,656,3214.6774193548385
29,Simulation6.3,0.5005115946133931,979,Rep910,292,3184.3333333333335
30,Simulation6.3,0.1670022408167521,139,Rep317,69,1749.0
31,Simulation6.3,0.1789121150970459,187,Rep665,38,4808.0
32,Simulation6.3,0.34225727717081705,835,Rep799,133,2205.0
33,Simulation6.3,0.16123168071111044,379,Rep722,84,3600.25
34,Simulation6.3,1.5557436188062033,4411,Rep156,618,3317.448275862069
35,Simulation6.3,0.5013766169548035,619,Rep356,271,3050.285714285714
36,Simulation6.3,1.7626466870307922,3307,Rep731,987,3038.1875
37,Simulation6.3,0.8408091982205709,2323,Rep757,489,3570.5
38,Simulation6.3,0.34849503040313723,955,Rep369,163,2761.4
39,Simulation6.3,0.16909908056259154,667,Rep749,98,2789.4
40,Simulation6.3,0.6833333532015483,1531,Rep943,385,3466.153846153846
41,Simulation6.3,0.8262895305951437,2683,Rep254,463,3146.05
42,Simulation6.3,0.5254143357276917,739,Rep436,298,3749.5
43,Simulation6.3,0.1679758866628011,259,Rep671,69,3291.5
44,Simulation6.3,0.47941033442815145,643,Rep116,171,3486.0
45,Simulation6.3,0.3255188862482707,451,Rep589,173,3603.25
46,Simulation6.3,1.5560438950856528,5179,Rep939,878,2725.3783783783783
47,Simulation6.3,0.5248327016830444,547,Rep512,269,2599.4
48,Simulation6.3,2.6542186737060547,1507,Rep89,700,3184.818181818182
49,Simulation6.3,0.5103813529014587,1651,Rep344,292,3143.230769230769
50,Simulation6.3,0.8867833932240804,2371,Rep308,480,3385.9375
51,Simulation6.3,0.5124315698941548,475,Rep747,237,2884.0
52,Simulation6.3,0.1690727154413859,235,Rep996,23,1235.0
53,Simulation6.3,0.6621769150098165,2011,Rep596,388,3231.2105263157896
54,Simulation6.3,1.2756246685981751,1699,Rep532,652,3083.2105263157896
55,Simulation6.3,1.8425410509109497,4867,Rep846,1080,2973.7894736842104
56,Simulation6.3,2.4529199918111164,4939,Rep64,931,3065.212121212121
57,Simulation6.3,2.721430508295695,3403,Rep35,828,2895.9166666666665
58,Simulation6.3,0.17441500425338746,451,Rep310,95,3061.3333333333335
59,Simulation6.3,0.7970561822255452,1891,Rep6,293,3045.3076923076924
60,Simulation6.3,0.2814160982767741,763,Rep327,88,2232.6666666666665
61,Simulation6.3,0.500779390335083,1291,Rep758,293,3374.0
62,Simulation6.3,0.46739728848139445,643,Rep4,151,3449.2
63,Simulation6.3,0.16506499846776326,331,Rep858,98,1530.5
64,Simulation6.3,0.33382234573364256,427,Rep215,164,3793.25
65,Simulation6.3,0.17088497479756673,163,Rep755,31,581.0
66,Simulation6.3,0.7494457205136617,1123,Rep76,295,2915.7
67,Simulation6.3,0.16566410462061565,307,Rep36,96,4236.333333333333
68,Simulation6.3,0.596428370475769,1507,Rep48,298,2929.5714285714284
69,Simulation6.3,0.6939710696538289,2155,Rep887,399,3154.55
70,Simulation6.3,0.3411968310674032,811,Rep962,199,3431.75
71,Simulation6.3,0.16221410433451336,355,Rep847,89,2091.25
72,Simulation6.3,0.1718802809715271,883,Rep84,47,3177.0
73,Simulation6.3,0.33448736667633056,811,Rep278,193,3089.125
74,Simulation6.3,0.17284287214279176,163,Rep138,51,3035.0
75,Simulation6.3,0.16076407035191853,403,Rep696,58,3251.4
76,Simulation6.3,0.6681775569915771,1555,Rep798,353,2799.375
77,Simulation6.3,3.0505056103070576,4099,Rep53,872,3087.9032258064517
78,Simulation6.3,0.17035471598307292,283,Rep309,77,4012.5
79,Simulation6.3,0.8379107197125752,859,Rep736,463,2736.2727272727275
80,Simulation6.3,0.33592582543691,307,Rep878,185,1896.5
81,Simulation6.3,6.677159178256988,883,Rep171,168,3583.285714285714
82,Simulation6.3,0.17209047476450604,187,Rep187,45,4171.5
83,Simulation6.3,0.15945022106170653,211,Rep150,85,2054.0
84,Simulation6.3,0.9028294801712036,3379,Rep494,464,3217.4
85,Simulation6.3,0.6902434428532919,979,Rep54,291,3476.5
86,Simulation6.3,1.700118605295817,5611,Rep814,969,2991.487804878049
87,Simulation6.3,0.17230722904205323,187,Rep539,56,3481.0
88,Simulation6.3,0.9198297182718913,1099,Rep440,441,2775.3
